age,year,area,f
16,1970,1,0.024971347
17,1970,1,0.025838283
18,1970,1,0.02644664
19,1970,1,0.026874006
20,1970,1,0.027175722
21,1970,1,0.027389892
22,1970,1,0.027542572
23,1970,1,0.027651687
24,1970,1,0.027729715
25,1970,1,0.027785562
26,1970,1,0.027825157
27,1970,1,0.027853053
28,1970,1,0.027872526
29,1970,1,0.027885951
30,1970,1,0.027895042
31,1970,1,0.027901044
32,1970,1,0.027904857
33,1970,1,0.027907131
34,1970,1,0.027908337
35,1970,1,0.027908809
36,1970,1,0.027908791
37,1970,1,0.027908453
38,1970,1,0.027908453
39,1970,1,0.027908453
40,1970,1,0.027908453
1,1971,1,1.712781e-06
2,1971,1,0.021961629
3,1971,1,0.031081658
4,1971,1,0.041322217
5,1971,1,0.028827884
6,1971,1,0.016859094
7,1971,1,0.012537548
8,1971,1,0.011670953
9,1971,1,0.01133375
10,1971,1,0.011015463
11,1971,1,0.011021916
12,1971,1,0.011607865
13,1971,1,0.012673516
14,1971,1,0.013853018
15,1971,1,0.01491126
16,1971,1,0.015792759
17,1971,1,0.016504725
18,1971,1,0.017072265
19,1971,1,0.017521551
20,1971,1,0.017875247
21,1971,1,0.018152086
22,1971,1,0.018367406
23,1971,1,0.018533761
24,1971,1,0.018661403
25,1971,1,0.018758804
26,1971,1,0.018832242
27,1971,1,0.018887149
28,1971,1,0.018927824
29,1971,1,0.018957635
30,1971,1,0.018979211
31,1971,1,0.018994579
32,1971,1,0.019005307
33,1971,1,0.019012587
34,1971,1,0.01901733
35,1971,1,0.019020226
36,1971,1,0.019021793
37,1971,1,0.019022419
38,1971,1,0.019022419
39,1971,1,0.019022419
40,1971,1,0.019022419
1,1972,1,1.5934873e-06
2,1972,1,0.029316658
3,1972,1,0.041941324
4,1972,1,0.056024176
5,1972,1,0.038923823
6,1972,1,0.0221854031
7,1972,1,0.0156814374
8,1972,1,0.0139418439
9,1972,1,0.0129324941
10,1972,1,0.0118959874
11,1972,1,0.0111890694
12,1972,1,0.0111540665
13,1972,1,0.011753973
14,1972,1,0.012636744
15,1972,1,0.013535036
16,1972,1,0.014347202
17,1972,1,0.015044659
