year,area,stage,f
2016,2,juvenile,0.406921712403259
2017,2,juvenile,0.388740582660492
2018,2,juvenile,0.544587751033066
2019,2,juvenile,0.662330042046369
2020,2,juvenile,0.692753265007914
2021,2,juvenile,0.715343814443674
1952,3,juvenile,0.00129895511843734
1953,3,juvenile,0.00232711173062108
1954,3,juvenile,0.0015560396378795
1955,3,juvenile,0.00071831641976488
1956,3,juvenile,0.00203651927607859
1957,3,juvenile,0.00355784917622882
1958,3,juvenile,0.00180633465105976
1959,3,juvenile,0.000793920511738118
1960,3,juvenile,0.00205662867548632
1961,3,juvenile,0.00261022202439633
1962,3,juvenile,0.00544835509288318
1963,3,juvenile,0.00168076238771354
1964,3,juvenile,0.00127512892634416
1965,3,juvenile,0.00130078157201307
1966,3,juvenile,0.00277700162986316
1967,3,juvenile,0.00200339771191361
1968,3,juvenile,0.00206606155165039
1969,3,juvenile,0.00070040577027181
1970,3,juvenile,0.000964386763163019
1971,3,juvenile,0.00405658142568063
1972,3,juvenile,0.0130884746907258
1973,3,juvenile,0.0144629072764754
1974,3,juvenile,0.0295552201530726
1975,3,juvenile,0.0422625694601212
1976,3,juvenile,0.0890396644939017
1977,3,juvenile,0.0592875007198996
1978,3,juvenile,0.0416302898242938
1979,3,juvenile,0.0306553130203714
1980,3,juvenile,0.0533314720301194
1981,3,juvenile,0.0841360367493205
1982,3,juvenile,0.0921795664401739
1983,3,juvenile,0.125591206486497
1984,3,juvenile,0.172180066622256
1985,3,juvenile,0.221037519148826
1986,3,juvenile,0.122190719412871
1987,3,juvenile,0.0962856391925077
1988,3,juvenile,0.0930441594325552
1989,3,juvenile,0.715305035609156
1990,3,juvenile,0.435255273335881
1991,3,juvenile,0.787487919018646
1992,3,juvenile,0.460751190470481
1993,3,juvenile,0.249372464959425
1994,3,juvenile,0.129791154945569
1995,3,juvenile,0.352538165313944
1996,3,juvenile,0.357486760986006
1997,3,juvenile,0.38229524821598
1998,3,juvenile,0.528412446662334
1999,3,juvenile,0.321164641740592
2000,3,juvenile,0.491954069600599
2001,3,juvenile,0.503955728023998
2002,3,juvenile,0.321982196581244
2003,3,juvenile,0.839008321774496
