year,season,area,ssb
1953,2,5,1703800
1954,2,5,1756300
1955,2,5,1720600
1956,2,5,1700100
1957,2,5,1843700
1958,2,5,1788200
1959,2,5,1620800
1960,2,5,1656600
1961,2,5,1611300
1962,2,5,1414100
1963,2,5,1389300
1964,2,5,1347900
1965,2,5,1295900
1966,2,5,1314000
1967,2,5,1214400
1968,2,5,1145200
1969,2,5,1118100
1970,2,5,1077000
1971,2,5,1110000
1972,2,5,1189200
1973,2,5,1128000
1974,2,5,1074200
1975,2,5,1053900
1976,2,5,924670
1977,2,5,864800
1978,2,5,955330
1979,2,5,1011000
1980,2,5,952400
1981,2,5,913710
1982,2,5,877810
1983,2,5,858840
1984,2,5,885750
1985,2,5,956450
1986,2,5,913720
1987,2,5,950960
1988,2,5,986110
1989,2,5,976370
1990,2,5,904700
1991,2,5,782850
1992,2,5,741410
1993,2,5,664700
1994,2,5,641200
1995,2,5,692780
1996,2,5,749700
1997,2,5,749150
1998,2,5,685170
1999,2,5,587480
2000,2,5,554600
2001,2,5,530290
2002,2,5,518860
2003,2,5,542810
2004,2,5,550690
2005,2,5,515480
2006,2,5,538510
2007,2,5,567140
2008,2,5,593980
2009,2,5,595220
2010,2,5,560490
2011,2,5,525620
2012,2,5,487850
2013,2,5,439360
2014,2,5,423680
2015,2,5,454350
2016,2,5,500260
2017,2,5,519470
2018,2,5,503940
2019,2,5,517380
2020,2,5,572520
2021,2,5,609370
1952,3,5,1743200
1953,3,5,1782700
1954,3,5,1828600
1955,3,5,1753200
1956,3,5,1800800
1957,3,5,1923500
1958,3,5,1810700
1959,3,5,1657400
1960,3,5,1735800
1961,3,5,1613600
1962,3,5,1438500
1963,3,5,1440400
1964,3,5,1383400
1965,3,5,1341700
1966,3,5,1340100
1967,3,5,1229000
1968,3,5,1177000
1969,3,5,1150800
1970,3,5,1100500
1971,3,5,1182400
1972,3,5,1220600
1973,3,5,1151200
1974,3,5,1113400
1975,3,5,1067500
1976,3,5,926860
1977,3,5,908070
1978,3,5,1018400
1979,3,5,1036900
1980,3,5,971460
1981,3,5,943500
1982,3,5,900210
1983,3,5,893100
1984,3,5,938510
1985,3,5,995950
1986,3,5,946300
1987,3,5,1005100
1988,3,5,1026300
1989,3,5,1006600
1990,3,5,913950
1991,3,5,797110
1992,3,5,765980
1993,3,5,671260
1994,3,5,683730
1995,3,5,738010
1996,3,5,797240
1997,3,5,766910
1998,3,5,700520
1999,3,5,591470
2000,3,5,581210
2001,3,5,544100
2002,3,5,547730
2003,3,5,572440
2004,3,5,573090
2005,3,5,535240
2006,3,5,577480
2007,3,5,599100
2008,3,5,629080
2009,3,5,615030
2010,3,5,578170
2011,3,5,544010
2012,3,5,502580
2013,3,5,455030
2014,3,5,447680
2015,3,5,489650
2016,3,5,531300
2017,3,5,544900
2018,3,5,527680
2019,3,5,551800
2020,3,5,613780
2021,3,5,643230
1952,4,5,1680600
1953,4,5,1717100
1954,4,5,1748500
1955,4,5,1653100
1956,4,5,1760100
1957,4,5,1834200
1958,4,5,1676000
1959,4,5,1568300
1960,4,5,1648100
1961,4,5,1480400
1962,4,5,1361900
1963,4,5,1366600
1964,4,5,1304100
1965,4,5,1282600
1966,4,5,1245500
1967,4,5,1141100
1968,4,5,1106200
1969,4,5,1079900
1970,4,5,1037300
1971,4,5,1147800
1972,4,5,1146100
1973,4,5,1082500
1974,4,5,1063200
1975,4,5,986710
1976,4,5,858000
1977,4,5,876500
1978,4,5,983190
1979,4,5,968230
1980,4,5,910500
